カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1JsuQ2fpw3gAi1D8W6qwqw6ZFxlR5Z9vd,,
BT14-001,Koromon_BT14_001,2912,,,,,,
BT14-001_P1,Koromon_BT14_001,2913,,,,,,
BT14-002,Pukamon_BT14_002,2914,,,,,,
BT14-002_P1,Pukamon_BT14_002,2915,,,,,,
BT14-003,Tokomon_BT14_003,2916,,,,,,
BT14-003_P1,Tokomon_BT14_003,2917,,,,,,
BT14-004,Tanemon_BT14_004,2918,,,,,,
BT14-004_P1,Tanemon_BT14_004,2919,,,,,,
BT14-005,Missimon_BT14_005,2920,,,,,,
BT14-005_P1,Missimon_BT14_005,2921,,,,,,
BT14-006,Baumon_BT14_006,2922,,,,,, 
BT14-006_P1,Baumon_BT14_006,2923,,,,,,
BT14-007,Agumon_BT14_007,2924,,,,,,
BT14-007_P1,Agumon_BT14_007,2925,,,,,,
BT14-008,Gizamon_BT14_008,2926,,,,,,
BT14-009,Pillowmon_BT9_033,2927,,,,,,
BT14-010,Tiranomon_BT1_016,2928,,,,,,
BT14-011,Koemon_BT1_031,2929,,,,,,
BT14-012,Greymon_BT14_012,2930,,,,,,
BT14-013,Tiranomon_BT14_013,2931,,,,,,
BT14-014,MetalgreymonAce_BT14_014,2932,,,,,,
BT14-014_P1,MetalgreymonAce_BT14_014,2933,,,,,,
BT14-015,Megadramon_BT14_015,2934,,,,,,
BT14-016,Torikeramon_BT14_016,2935,,,,,,
BT14-017,Dinorexmon_BT14_017,2936,,,,,,
BT14-018,Goddramon_BT14_018,2937,,,,,,
BT14-019,Otamamon_BT14_019,2938,,,,,,
BT14-020,Gomamon_BT14_020,2939,,,,,,
BT14-020_P1,Gomamon_BT14_020,2940,,,,,,
BT14-021,Shakomon_BT14_021,2941,,,,,,
BT14-022,Gesomon_BT14_022,2942,,,,,,
BT14-023,Ikkakumon_BT14_023,2943,,,,,,
BT14-024,Otamamon_BT14_019,2944,,,,,,
BT14-025,Shakomon_BT14_021,2945,,,,,,
BT14-026,ZudomonAce_BT14_026,2946,,,,,,
BT14-026_P1,ZudomonAce_BT14_026,2947,,,,,,
