カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1JsuQ2fpw3gAi1D8W6qwqw6ZFxlR5Z9vd,,
BT16-001,Poromon_BT16_001,3299,,,,,,
BT16-001_P1,Poromon_BT16_001,3300,,,,,,
BT16-002,DemiVeemon_BT16_002,3301,,,,,,
BT16-002_P1,DemiVeemon_BT16_002,3302,,,,,,
BT16-003,Upamon_BT16_003,3303,,,,,,
BT16-003_P1,Upamon_BT16_003,3304,,,,,,
BT16-004,Minomon_BT16_004,3305,,,,,,
BT16-004_P1,Minomon_BT16_004,3306,,,,,,
BT16-005,Dorimon_BT16_005,3307,,,,,,
BT16-005_P1,Dorimon_BT16_005,3308,,,,,,
BT16-006,Cupimon_BT16_006,3309,,,,,,
BT16-006_P1,Cupimon_BT16_006,3310,,,,,,
BT16-007,Hawkmon_BT16_007,3311,,,,,,
BT16-008,Aquilamon_BT16_008,3312,,,,,,
BT16-009,Lynxmon_BT16_009,3313,,,,,,
BT16-010,Helloogarmon_BT16_010,3314,,,,,,
BT16-011,GarudamonXAntibody_BT16_011,3315,,,,,, 
BT16-012,Silphymon_BT16_012,3316,,,,,,
BT16-012_P1,Silphymon_BT16_013,3317,,,,,,
BT16-013,ValkyrimonAce_BT16_013,3318,,,,,,
BT16-013_P1,ValkyrimonAce_BT16_013,3319,,,,,,
BT16-013_P2,ValkyrimonAce_BT16_013,3320,,,,,,
BT16-014,GoldramonXAntibody_BT16_014,3321,,,,,,
BT16-015,PhoenixmonXAntibody_BT16_015,3322,,,,,,
BT16-016,Patamon_BT16_016,3323,,,,,,
BT16-017,Veemon_BT16_017,3324,,,,,,
BT16-018,ExVeemon_BT16_018,3325,,,,,,
BT16-019,Angemon_BT16_019,3326,,,,,,
BT16-020,Gaogamon_BT16_020,3327,,,,,,
BT16-021,Togemoqumon_BT16_021,3328,,,,,,
BT16-022,Mantaraymon_BT16_022,3329,,,,,,
BT16-023,Divemon_BT16_023,3330,,,,,,
BT16-024,MagnaAngemon_BT16_024,3331,,,,,,
BT16-025,Paildramon_BT16_025,3332,,,,,,
BT16-025_P1,Paildramon_BT16_025,3333,,,,,,
BT16-026,VikemonAce_BT16_026,3334,,,,,,
BT16-026_P1,VikemonAce_BT16_026,3335,,,,,,
BT16-026_P2,VikemonAce_BT16_026,3336,,,,,,
BT16-027,ImperialdramonFighterModeAce_BT16_027,3337,,,,,,
BT16-027_P1,ImperialdramonFighterModeAce_BT16_027,3338,,,,,,
BT16-027_P2,ImperialdramonFighterModeAce_BT16_027,3339,,,,,,
BT16-028,ImperialdramonDragonMode_BT16_028,3340,,,,,,
BT16-029,Agumon_BT16_029,3341,,,,,,
BT16-030,Salamon_BT16_030,3342,,,,,,
BT16-031,Gatomon_BT16_031,3343,,,,,,
BT16-032,Sheepmon_BT16_032,3344,,,,,,
BT16-033,Harpymon_BT16_033,3345,,,,,,
BT16-034,Tempomon_BT16_034,3346,,,,,,
BT16-035,SlashAngemon_BT16_035,3347,,,,,,
BT16-036,Chaosmon_BT16_036,3348,,,,,,
BT16-036_P1,Chaosmon_BT16_036,3349,,,,,,
BT16-037,KoKabuterimon_BT16_037,3350,,,,,,
BT16-038,TerriermonXAntibody_BT16_038,3351,,,,,,
BT16-039,Pulsemon_BT16_039,3352,,,,,,
